Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-07-22 05:36:43,false,"Quan Thanh Khe Running","4.78","283","00:46:19","143","155","2.4","171","180","9:41","7:44","--","7","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","07:58.78","5","33.0","00:46:18","00:46:19","-11","-7"
Yoga,2023-07-20 06:35:26,false,"Yoga","0.00","86","00:15:01","120","140","1.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","15:01.08","1","33.0","00:00:00","00:15:01","--","--"
Cardio,2023-07-20 05:55:14,false,"Cardio","0.00","157","00:18:32","149","184","3.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","18:32.12","1","31.0","00:00:00","00:18:32","-9","-9"
Running,2023-07-20 05:35:59,false,"Quan Thanh Khe Running","2.08","127","00:18:44","144","153","2.5","164","176","8:59","6:47","2","3","0.74","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","01:03.87","3","30.0","00:18:43","00:18:44","-10","-8"
Cycling,2023-07-19 05:13:20,false,"Quan Thanh Khe Cycling","19.77","289","00:54:17","122","138","2.2","--","--","21.9","28.1","10","19","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","12:20.80","4","32.0","00:54:08","00:55:20","-36","-26"
Yoga,2023-07-18 06:32:01,false,"Yoga","0.00","59","00:11:59","112","128","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","11:59.32","1","33.0","00:00:00","00:11:59","--","--"
Running,2023-07-18 05:34:28,false,"Quan Thanh Khe Running","5.00","296","00:49:43","143","155","2.4","161","177","9:57","6:37","--","4","0.63","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","08:45.85","5","33.0","00:49:38","00:49:43","-11","-8"
Cycling,2023-07-17 05:10:04,false,"Quan Thanh Khe Cycling","19.74","345","00:53:03","131","153","3.2","--","--","22.3","27.4","10","19","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","12:20.88","4","32.0","00:52:39","00:54:00","-38","-30"
Running,2023-07-15 05:41:22,false,"Quan Thanh Khe Running","3.10","181","00:29:31","141","149","2.2","166","180","9:31","5:48","1","5","0.69","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","01:22.89","4","32.0","00:29:30","00:29:31","-11","-8"
Yoga,2023-07-14 06:11:21,false,"Yoga","0.00","25","00:05:00.8","112","128","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","05:00.80","1","32.0","00:00:00","00:05:00.8","--","--"
